City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Saint-Pierre,RE,87.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
219,Tanete,ID,75.2,light rain,-3.9443,119.7848,Wisma Tri Multi
221,Babra,IN,83.17,clear sky,21.85,71.3,Old Circuit House
223,Ranong,TH,83.16,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
224,Abong Mbang,CM,75.11,overcast clouds,3.9833,13.1833,Auberge Angle Sur
227,Ippy,CF,82.6,overcast clouds,6.2679,21.2247,
228,Kavaratti,IN,80.87,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
234,Waingapu,ID,84.96,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
235,Mogadishu,SO,83.25,few clouds,2.0371,45.3438,Hotel Juba
238,Marabba,SD,83.52,clear sky,12.35,32.1833,
239,Makakilo City,US,71.92,mist,21.3469,-158.0858,Marriott's Ko Olina Beach Club
240,Port Augusta,AU,82.71,few clouds,-32.5,137.7667,Majestic Oasis Apartments
241,Isangel,VU,87.91,few clouds,-19.55,169.2667,Tanna Lodge
244,Lazaro Cardenas,MX,74.55,broken clouds,17.9583,-102.2,quinta antigua
246,Sao Filipe,CV,75.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
247,Boende,CD,77.38,overcast clouds,-0.2167,20.8667,
249,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
250,Mbandaka,CD,73.69,overcast clouds,0.0487,18.2603,Guest House Epervier
251,Caravelas,BR,71.98,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
254,Tambacounda,SN,73.8,overcast clouds,13.7539,-13.7586,
255,Qeshm,IR,78.67,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
258,Kieta,PG,81.77,light rain,-6.2167,155.6333,Uruna Bay Retreat
259,Kawalu,ID,78.58,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
263,Maridi,SS,87.44,overcast clouds,4.9158,29.4742,
266,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
270,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
