City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
67,Marawi,100,PH,2021-12-03 06:54:59,98,7.9986,124.2928,68.65,4.14
68,Kaitangata,64,NZ,2021-12-03 06:54:59,83,-46.2817,169.8464,63.63,1.63
69,Fort Nelson,75,CA,2021-12-03 06:54:59,71,58.8053,-122.7002,-8.01,4.61
70,Denpasar,40,ID,2021-12-03 06:55:00,79,-8.65,115.2167,83.86,12.66
71,Puerto Ayora,100,EC,2021-12-03 06:55:00,85,-0.7393,-90.3518,68.22,6.98
72,Saskylakh,53,RU,2021-12-03 06:55:01,99,71.9167,114.0833,-43.35,5.97
73,Nouadhibou,5,MR,2021-12-03 06:55:01,67,20.931,-17.0347,60.78,25.32
74,Tupik,89,RU,2021-12-03 06:55:01,88,54.4253,119.9327,-1.89,0.67
75,Mabaruma,100,GY,2021-12-03 06:55:02,99,8.2,-59.7833,70.79,1.86
76,Morehead,1,US,2021-12-03 06:55:02,93,37.2711,-87.1764,48.99,0.0
77,Meulaboh,100,ID,2021-12-03 06:55:03,83,4.1363,96.1285,79.52,1.99
78,Seymchan,100,RU,2021-12-03 06:55:03,92,62.8833,152.4333,-26.14,3.71
79,Punta Arenas,75,CL,2021-12-03 06:55:04,81,-53.15,-70.9167,44.71,9.22
80,Kahului,40,US,2021-12-03 06:52:55,78,20.8947,-156.47,77.02,3.44
81,Rocha,5,UY,2021-12-03 06:55:04,94,-34.4833,-54.3333,53.2,4.9
82,Heihe,16,CN,2021-12-03 06:55:05,76,50.2441,127.4902,9.18,8.01
83,Candido De Abreu,56,BR,2021-12-03 06:55:05,88,-24.5669,-51.3333,64.74,4.29
84,Albany,96,US,2021-12-03 06:55:05,76,42.6001,-73.9662,42.15,5.01
85,Hannibal,1,US,2021-12-03 06:51:57,43,39.7084,-91.3585,50.92,4.61
86,Gijon,100,ES,2021-12-03 06:55:06,87,43.5357,-5.6615,52.84,1.01
87,Berlevag,40,NO,2021-12-03 06:55:06,79,70.8578,29.0864,21.15,10.36
88,Victoria,17,HK,2021-12-03 06:54:12,24,22.2855,114.1577,74.03,1.01
89,Barrow,65,US,2021-12-03 06:55:07,99,71.2906,-156.7887,-23.15,13.2
90,Camopi,100,GF,2021-12-03 06:55:07,100,3.1655,-52.3158,70.05,1.41
91,Srednekolymsk,100,RU,2021-12-03 06:55:08,98,67.45,153.6833,-13.04,13.38
92,Akita,75,JP,2021-12-03 06:54:12,87,39.7167,140.1167,47.34,4.61
93,Tiksi,83,RU,2021-12-03 06:55:08,100,71.6872,128.8694,-31.14,3.44
94,Hithadhoo,43,MV,2021-12-03 06:55:09,76,-0.6,73.0833,82.18,6.85
95,Avarua,75,CK,2021-12-03 06:56:09,89,-21.2078,-159.775,78.85,11.5
96,Klaksvik,100,FO,2021-12-03 06:56:10,71,62.2266,-6.589,38.32,16.84
97,Isabela,100,PH,2021-12-03 06:56:10,73,6.7085,121.9711,82.45,7.18
98,Axim,94,GH,2021-12-03 06:56:11,84,4.8699,-2.2405,79.21,2.84
99,Hambantota,75,LK,2021-12-03 06:56:11,79,6.1241,81.1185,86.34,2.3
100,Collie,0,AU,2021-12-03 06:56:11,19,-33.3667,116.15,81.99,9.84
101,Zhigansk,51,RU,2021-12-03 06:56:12,100,66.7697,123.3711,-45.56,1.34
102,Shache,0,CN,2021-12-03 06:56:12,21,38.4167,77.2406,39.42,3.53
103,Tuktoyaktuk,1,CA,2021-12-03 06:56:13,69,69.4541,-133.0374,-18.4,17.27
104,Castro,100,BR,2021-12-03 06:56:13,93,-24.7911,-50.0119,58.96,8.61
