City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Galanta,SK,48.19,17.7275,36.54,98,100,11.61,light rain
80,Margate,GB,51.3813,1.3862,39.69,88,100,8.46,overcast clouds
81,Faya,SA,18.3851,42.4509,63.12,21,0,3.4,clear sky
82,Panaba,MX,21.2833,-88.2667,69.55,95,0,6.98,clear sky
83,Dikson,RU,73.5069,80.5464,-18.51,99,81,6.17,broken clouds
84,Ancud,CL,-41.8697,-73.8203,58.42,81,0,2.26,clear sky
85,Fare,PF,-16.7,-151.0167,81.19,73,14,15.43,light rain
86,San Policarpo,PH,12.1791,125.5072,80.44,78,46,14.72,scattered clouds
87,Koumac,NC,-20.5667,164.2833,82.04,71,56,4.5,broken clouds
88,Te Anau,NZ,-45.4167,167.7167,50.68,74,98,4.07,overcast clouds
89,Vestmannaeyjar,IS,63.4427,-20.2734,41.9,62,99,9.95,overcast clouds
90,Tiksi,RU,71.6872,128.8694,-19.07,91,100,10.89,overcast clouds
91,Nikolskoye,RU,59.7035,30.7861,-2.6,96,16,4.65,few clouds
92,Cape Town,ZA,-33.9258,18.4232,65.08,83,75,1.01,light rain
93,Kenai,US,60.5544,-151.2583,25.14,92,75,5.75,light snow
94,Cullinan,ZA,-25.6709,28.5236,67.82,67,100,11.63,overcast clouds
95,Lulea,SE,65.5842,22.1547,-3.93,84,75,3.44,broken clouds
96,Standerton,ZA,-26.9337,29.2415,67.6,84,100,8.99,overcast clouds
97,Paamiut,GL,61.994,-49.6678,23.65,68,100,10.22,light snow
98,Presidente Epitacio,BR,-21.7633,-52.1156,74.07,69,5,4.41,clear sky
99,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.79,85,75,6.91,broken clouds
100,Vao,NC,-22.6667,167.4833,77.14,83,100,12.15,overcast clouds
101,Talnakh,RU,69.4865,88.3972,-12.8,99,100,13.87,light snow
102,Hermanus,ZA,-34.4187,19.2345,60.91,83,100,7.45,light rain
103,Horsham,GB,51.064,-0.3272,38.25,92,100,3.44,overcast clouds
104,Upernavik,GL,72.7868,-56.1549,27.95,94,100,15.57,overcast clouds
105,Lidice,PA,8.75,-79.9,77.79,95,87,6.55,overcast clouds
106,Kindu,CD,-2.95,25.95,75.24,88,100,2.53,overcast clouds
107,Port Alfred,ZA,-33.5906,26.891,73.83,67,15,12.15,few clouds
108,Coquimbo,CL,-29.9533,-71.3436,57.65,89,34,2.98,scattered clouds
109,Frankfurt,DE,50.1167,8.6833,37.26,95,20,2.3,few clouds
110,Staryy Nadym,RU,65.6118,72.6842,-18.38,91,18,11.23,few clouds
111,Araouane,ML,18.9048,-3.5265,58.03,21,89,10.65,overcast clouds
112,Senanga,ZM,-16.1167,23.2667,75.56,60,100,2.33,overcast clouds
113,Atuona,PF,-9.8,-139.0333,78.49,80,25,20.8,light rain
114,Omboue,GA,-1.5746,9.2618,75.49,93,100,6.06,light rain
115,Bethel,US,41.3712,-73.414,50.58,84,100,1.99,overcast clouds
116,Butaritari,KI,3.0707,172.7902,82.51,76,99,16.08,light rain
117,Cherskiy,RU,68.75,161.3,-28.19,97,100,3.4,overcast clouds
118,Atasu,KZ,48.6814,71.6433,31.78,98,100,10.78,overcast clouds
119,Georgetown,MY,5.4112,100.3354,85.98,66,20,7.0,light rain
120,Mount Gambier,AU,-37.8333,140.7667,66.11,59,40,17.27,scattered clouds
121,San Patricio,US,28.017,-97.5169,75.88,90,100,14.94,overcast clouds
122,Lima,PE,-12.0432,-77.0282,65.89,87,90,12.66,overcast clouds
123,Seaford,GB,50.7714,0.1027,38.98,91,100,4.43,overcast clouds
124,Gat,IL,31.61,34.7642,64.78,35,0,4.61,clear sky
125,Faanui,PF,-16.4833,-151.75,80.53,76,69,14.61,broken clouds
126,Roblin,CA,51.23,-101.3565,-15.43,97,78,10.31,broken clouds
127,Huanan,CN,46.2167,130.5167,25.75,85,6,16.62,clear sky
128,Ribeira Grande,PT,38.5167,-28.7,63.43,73,100,9.95,overcast clouds
129,Gorontalo,ID,0.5412,123.0595,83.12,82,100,3.94,overcast clouds
130,Sinnamary,GF,5.3833,-52.95,76.23,89,100,4.16,overcast clouds
131,Aden,YE,12.7794,45.0367,80.44,64,14,13.91,few clouds
132,Ordu,TR,40.9086,37.6845,47.64,57,9,7.58,clear sky
133,Carutapera,BR,-1.195,-46.02,78.48,83,95,7.07,overcast clouds
134,Nijar,ES,36.9665,-2.206,53.24,35,0,17.27,clear sky
135,Barrow,US,71.2906,-156.7887,19.6,91,100,13.91,light snow
136,Bambous Virieux,MU,-20.3428,57.7575,84.45,61,75,13.8,light rain
137,Alofi,NU,-19.0595,-169.9187,78.69,78,75,13.8,broken clouds
138,Kamenka,RU,51.3223,42.7678,24.75,60,100,8.97,overcast clouds
139,Poya,NC,-21.35,165.15,82.44,69,100,5.39,overcast clouds
140,Codrington,AU,-38.2667,141.9667,65.03,61,1,16.28,clear sky
141,Casablanca,MA,33.5928,-7.6192,52.14,81,40,4.0,scattered clouds
142,Castro,BR,-24.7911,-50.0119,59.83,97,85,2.06,overcast clouds
143,Tilichiki,RU,60.4667,166.1,-2.09,92,13,5.84,few clouds
144,Severo-Kurilsk,RU,50.6789,156.125,35.37,82,80,15.82,broken clouds
145,Abalak,RU,58.1286,68.5944,8.47,84,100,1.54,overcast clouds
146,Nuuk,GL,64.1835,-51.7216,25.41,86,75,13.8,broken clouds
147,Skibbereen,IE,51.55,-9.2667,46.2,78,46,22.55,scattered clouds
148,Clyde River,CA,70.4692,-68.5914,10.63,92,100,20.71,light snow
149,Khatanga,RU,71.9667,102.5,-11.07,97,100,7.7,overcast clouds
150,Hithadhoo,MV,-0.6,73.0833,81.41,78,91,13.31,overcast clouds
151,Tomatlan,MX,19.9333,-105.25,70.32,95,100,3.65,overcast clouds
152,Bredasdorp,ZA,-34.5322,20.0403,59.29,80,100,9.26,overcast clouds
153,San Ramon,US,37.7799,-121.978,54.37,90,40,3.44,scattered clouds
154,Luderitz,NA,-26.6481,15.1594,69.6,59,0,15.35,clear sky
155,Grand-Santi,GF,4.25,-54.3833,72.07,99,99,1.45,overcast clouds
156,Griffith,US,41.5284,-87.4237,39.4,91,40,1.01,scattered clouds
157,Arraial Do Cabo,BR,-22.9661,-42.0278,73.62,91,100,17.81,overcast clouds
158,San Cristobal,VE,7.7669,-72.225,64.47,80,97,2.01,overcast clouds
159,Cidreira,BR,-30.1811,-50.2056,69.93,83,99,11.61,light rain
160,Ratne,UA,51.6683,24.5303,29.75,90,100,4.68,overcast clouds
161,Pacific Grove,US,36.6177,-121.9166,58.15,93,7,1.99,clear sky
162,Akmene,LT,56.25,22.75,5.65,96,14,6.11,few clouds
163,Jumla,NP,29.2747,82.1838,49.66,73,83,7.16,broken clouds
164,Kununurra,AU,-15.7667,128.7333,96.78,44,94,6.91,overcast clouds
165,Russell,US,32.3502,-85.1999,57.79,93,20,0.0,mist
